X,Y,X_COORD,Y_COORD,GlobalID,Name
-66.246575281650507,18.418008096440307,172090.8884000000000000000000000000000,64940.4670800000020000000000000000000,{22D2BCB9-4CBA-42B3-9350-9760AAE1857E},Toa Baja
-66.333408196724662,18.428600712767924,162916.2414800000000000000000000000000,66105.7285200000040000000000000000000,{A257C6DC-9AC8-4D28-B2D6-363F6985D714},Vega Alta
-66.154685091926339,18.388375466449197,181804.2012399999900000000000000000000,61672.9377299999980000000000000000000,{EEF45709-0BFF-47A0-BAA6-9F4FABB5546D},Bayamon
-66.120792848122775,18.422462340746197,185379.1354800000000000000000000000000,65451.5904000000010000000000000000000,{6A656651-344A-431B-A992-8E644FD5629D},Buchanan
-66.106683953074437,18.352722182609742,186883.4987799999900000000000000000000,57735.0916000000000000000000000000000,{73A8DCCD-8DDF-4B9D-BA49-5C167A4B2FEA},Guaynabo
-66.069187998864976,18.34609833272712,190847.9385400000000000000000000000000,57009.4575400000030000000000000000000,{C2736AF8-B834-46DD-B8B2-A82796C87F46},Montehiedra
-66.02682505138965,18.41764886373177,195307.9332599999900000000000000000000,64938.3370399999990000000000000000000,{1BDAFDED-41BD-4626-A136-77CAA72FD870},Rampa C. Norte
-65.971001308265556,18.369712120502065,201219.1961000000000000000000000000000,59646.5179100000020000000000000000000,{DABB1841-FDF4-499D-81A5-982EB3D7DFE0},Plaza Carolina
-65.953768121739742,18.363753503892283,203042.1304500000000000000000000000000,58991.6774200000000000000000000000000,{5C3E09D6-5860-41BB-AB46-6C647506E141},Rampa C. Sur
-65.857964954979636,18.367808060427052,213165.6105300000100000000000000000000,59469.5339900000040000000000000000000,{82867BA9-F312-4B01-A5F4-44FC80406474},Rio Grande
-65.650878463172262,18.276571799811006,235093.9179099999900000000000000000000,49452.2442599999990000000000000000000,{7B181EC2-8123-4130-8D29-46C51CE0A05D},Ceiba
-65.802242178790053,18.169513072567458,219129.9685499999900000000000000000000,37541.2266099999980000000000000000000,{DCDAE2A7-30ED-4D97-8B5B-9A5FA14C0047},Humacao Norte
-65.820157245473411,18.116962120366225,217253.9390300000100000000000000000000,31718.4557300000010000000000000000000,{971E9A8A-4E6D-4898-A044-2F9B86834488},Humacao Sur
-66.140950515994959,17.988033993652515,183326.1220399999900000000000000000000,17365.0600200000010000000000000000000,{CDE4EF10-57EF-4E21-96E1-964F9644D4A2},Guayama
-66.2391585488825,18.033571824790659,172919.4676899999900000000000000000000,22391.4032799999990000000000000000000,{9B4CE45A-52CB-4514-A566-1C70765B5C93},Salinas
-66.239360601444929,18.001910443362753,172901.7693000000400000000000000000000,18887.1217099999990000000000000000000,{3CF75E5A-E679-4ADD-90BE-B5E9709A8FBC},Hucar
-66.292851732429426,17.985486686278961,167238.2839399999900000000000000000000,17064.1873600000000000000000000000000,{AEB1AB3C-149F-4EC2-9036-8C3AF07A8E52},Rampa Salinas Sur
-66.51262032961067,18.04404733545115,143964.8987900000100000000000000000000,23541.7987399999980000000000000000000,{6A0A1960-6E6E-4A6A-823D-F1467E9577D2},Juana Diaz ORT
-66.035122422547019,18.277386252553601,194465.0008300000000000000000000000000,49411.7655999999990000000000000000000,{53C73092-8693-4EE1-9CA7-8D0502B73A9B},Caguas Norte
-66.052120072564037,18.198058117540011,192685.9650599999900000000000000000000,40627.7765000000000000000000000000000,{E68A9AD0-5EFA-4229-BAB7-8C21122D5A51},Caguas Sur
-66.456124881572521,18.444892808344857,149952.0433700000000000000000000000000,67906.3249499999950000000000000000000,{599C2427-9130-4C8B-A878-44DA1AD4035C},Manati
-66.623134469603386,18.444129865532449,132309.9386700000000000000000000000000,67832.1984600000000000000000000000000,{16CD1854-7C71-4315-B8A0-ED07F96E9D95},Arecibo
-66.779335499410521,18.478736542018435,115816.7945700000000000000000000000000,71686.7759499999960000000000000000000,{55B2492D-B97B-4E34-A33F-576C7408ECA2},Hatillo
-66.626491187335105,17.991056080009681,131902.2429800000100000000000000000000,17685.6277400000000000000000000000000,{6D4D5304-FCFB-4F89-ABE7-75A619D63E1C},Ponce
